severity	rule	token	suggested_token	line	language_table	sid	zh	ko_new	note
수정 후보 높음	ㄹ→ㅇ	령	영	25	t_language.xml	100020	泠	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	려	여	44	t_language.xml	100039	吕	려	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	렴	염	50	t_language.xml	100045	廉	렴	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	률	율	112	t_language.xml	100107	栗	률	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	렴	염	113	t_language.xml	100108	廉	렴	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	린	인	114	t_language.xml	100109	蔺	린	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	령	영	115	t_language.xml	100110	苓	령	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	룡	용	116	t_language.xml	100111	龙	룡	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루	누	117	t_language.xml	100112	楼	루	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로	노	118	t_language.xml	100113	鲁	로	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	록	녹	119	t_language.xml	100114	鹿	록	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로	노	120	t_language.xml	100115	潞	로	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	류	유	188	t_language.xml	100185	刘	류	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로	노	197	t_language.xml	100194	卢	로	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	리	이	210	t_language.xml	100207	骊	리	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	라	나	211	t_language.xml	100208	罗	라	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	람	남	212	t_language.xml	100209	蓝	람	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	뢰	뇌	215	t_language.xml	100212	雷	뢰	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	란	난	231	t_language.xml	100228	栾	란	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	로	노	242	t_language.xml	100239	路	로	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	량	양	244	t_language.xml	100241	梁	량	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	렬	열	255	t_language.xml	100252	列	렬	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	락	낙	271	t_language.xml	100268	雒	락	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	륙	육	327	t_language.xml	100328	陆	륙	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	리	이	333	t_language.xml	101006	悝	리	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	릉	능	350	t_language.xml	101023	陵	릉	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	룡	용	360	t_language.xml	101033	龙	룡	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	라	나	369	t_language.xml	101042	罗	라	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㅇ	려	여	434	t_language.xml	101107	厉	려	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	룡	용	472	t_language.xml	101145	龙	룡	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㄴ	루	누	495	t_language.xml	101168	屡	루	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㅇ	류	유	516	t_language.xml	101189	留	류	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	리	이	523	t_language.xml	101196	釐	리	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	료	요	532	t_language.xml	101205	缭	료	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	룡	용	536	t_language.xml	101209	龙	룡	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
검토 필요	ㄹ→ㄴ	뢰	뇌	545	t_language.xml	101218	儡	뢰	서명·고유명사·짧은 명칭 가능성. 표기 정책 확인 필요.
수정 후보 높음	ㄹ→ㄴ	로구	노구	597	t_language.xml	101390	潞臼	로구	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	란	난	650	t_language.xml	101501	兰	란	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㅇ	림화	임화	713	t_language.xml	101582	临华	림화	번역문 전체가 한자어 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루번	누번	884	t_language.xml	101832	楼烦战士	루번 전사	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루번	누번	885	t_language.xml	101833	楼烦战戎卫	루번 전융위	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루번	누번	886	t_language.xml	101834	楼烦弓手	루번 궁수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루번	누번	887	t_language.xml	101835	楼烦强弓手	루번 강궁수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
수정 후보 높음	ㄹ→ㄴ	루번	누번	888	t_language.xml	101836	楼烦神射弓手	루번 신사궁수	번역문 첫 어절이 두음 법칙 대상일 가능성이 높음.
