sid	old_ko	new_ko
21022103	제후가 분수를 잊고 예법을 저버렸기 때문입니다	제후가 예법을 저버렸기 때문이다
21022104	백성이 이익을 쫓아 서로 다투기 때문입니다	백성이 이익을 쫓아 다투기 때문이다
21022105	구정이 유실되고 혼돈이 횡행하기 때문입니다	구정이 유실되어 혼돈이 일었기 때문이다
21022106	열국이 다투고 강대국이 집어삼키기 때문입니다	열국이 다투고 강대국이 삼키기 때문이다
21022109	인재를 널리 등용하여 선비로 나라를 세워야 합니다	인재를 등용하여 선비로 나라를 세워야 한다
21022110	농사를 장려하여 농업으로 나라를 세워야 합니다	농사를 장려하여 농업으로 나라를 세워야 한다
21022111	상벌을 엄히 가려 법으로 나라를 세워야 합니다	상벌을 엄히 가려 법으로 나라를 세워야 한다
21022112	교역을 원활히 하여 상업으로 나라를 세워야 합니다	교역을 원활히 하여 상업으로 나라를 세워야 한다
21022113	군대를 정비하여 무력으로 나라를 세워야 합니다	군대를 정비하여 무력으로 나라를 세워야 한다
21022234	제후 참람, 예제 붕괴.	제후들이 분수를 잊고 예도를 저버렸기에 큰 혼란이 일어난 것입니다.
21022235	서민 쟁리, 욕망 반목.	백성들이 이익을 쫓다 욕망에 잡아먹혀 서로 다투게 된 것입니다.
21022236	구정 유실, 오행 실형.	구정(九鼎)이 유실되고 오행이 어긋나 혼돈이 횡행하는 것입니다.
21022237	열국 분쟁, 약육강식.	열국이 다투고 약육강식이 판을 치니 전란이 끊이지 않는 것입니다.
21022238	현능 등용, 인재 초빙.	어진 이를 찾고 천하의 인재를 널리 등용하여야 합니다.
21022239	수로 개척, 창고 충실.	치수와 농사를 장려하여 곳간을 풍족하게 채워야 합니다.
21022240	상벌 분명, 공정 행정.	상벌을 엄히 하고 시비를 가려 공명정대하게 다스려야 합니다.
21022241	상로 개방, 사방 통상.	상업의 길을 터주어 사방의 교역을 원활하게 이끌어야 합니다.
21022242	군마 정비, 병사 훈련.	군대를 정비하고 무력을 길러 나라를 굳건히 다져야 합니다.
